stock-code,reference-price,celling-price,floor-price,price,volume,total-volume,total-value,highest-price,lowest-price,average-price,create-at
DP3,0.0,61.9,68.0,0.0,61.9,0.1,4.0,0.0,62.0,61.9,2024-05-21 10:35:24.605563
DS3,0.0,5.2,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:25.106101
DST,0.0,3.8,4.1,-0.1,3.7,0.2,3.4,0.0,3.8,3.7,2024-05-21 10:35:25.780465
DTC,0.0,4.2,4.6,0.0,4.2,0.6,0.6,0.0,4.2,4.2,2024-05-21 10:35:26.248377
DTD,0.0,28.0,30.8,0.6,28.6,0.1,661.9,0.0,28.9,27.7,2024-05-21 10:35:26.762984
DTG,0.0,38.9,42.7,-1.7,37.2,0.1,0.1,0.0,37.2,37.2,2024-05-21 10:35:27.119834
DTK,0.0,12.2,13.4,0.5,12.7,1.0,1.6,0.0,13.0,12.5,2024-05-21 10:35:27.714120
DVG,0.0,2.8,3.0,0.0,2.8,26.1,210.5,0.0,2.9,2.7,2024-05-21 10:35:28.301240
DVM,0.0,12.3,13.5,0.7,13.0,1.0,1308.3,0.0,13.5,12.2,2024-05-21 10:35:28.818651
DXP,0.0,13.3,14.6,0.3,13.6,9.3,447.4,0.0,13.9,13.2,2024-05-21 10:35:29.183340
EBS,0.0,11.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:29.539871
ECI,0.0,24.5,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:30.170256
EID,0.0,24.2,26.6,0.0,24.2,1.0,2.1,0.0,24.2,24.2,2024-05-21 10:35:30.555425
EVS,0.0,7.8,8.5,-0.1,7.7,1.0,94.0,0.0,7.8,7.7,2024-05-21 10:35:30.865884
FID,0.0,2.3,2.5,0.0,2.3,10.4,71.7,0.0,2.4,2.3,2024-05-21 10:35:31.226148
GDW,0.0,24.5,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:34.979547
GIC,0.0,14.9,16.3,-0.5,14.4,0.1,0.4,0.0,14.4,14.4,2024-05-21 10:35:35.496284
GKM,0.0,35.5,39.0,0.5,36.0,0.2,0.2,0.0,36.0,36.0,2024-05-21 10:35:36.169593
HAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:35:36.867221
